English,Japanese
apophysitis,骨端症
apoplasmia,低血漿症、血漿欠乏(症)
apoplectic,a〉卒中(性)の、卒中に関する
apoplexy,1_卒中、脳卒中(cerebral apoplexy) 2_溢血
apoplexia,1_卒中、脳卒中(cerebral apoplexy) 2_溢血
apoptosis,プログラム細胞死、アポトーシス
apoptotic,a〉プログラム細胞死の、アポトーシスの
apotripsos,角膜混濁除去
apparatus,装置
appearance,1_出現、出席、出演 2_外観
appendalgia,虫垂痛
appendectomy,虫垂切除(術)、虫垂摘除(術)
appendicectomy,虫垂切除(術)、虫垂摘除(術)
appendical,a〉虫垂の
appendiceal,a〉虫垂の
appendicial,a〉虫垂の
appendicalgia,虫垂痛
appendicitis,虫垂炎
appendicocecostomy,虫垂盲腸吻合術
appendix,垂 [L]
appliance,装置
applicable,a〉応用できる
application,応用
applied,a〉応用の
appositional,a〉添加性の
approximal,a〉隣接の
apractic,a〉失行(症)の、行動不能(症)の
apraxic,a〉失行(症)の、行動不能(症)の
apraxia,失行(症)、行動不能(症)
apraxis,失行(症)、行動不能(症)
apraxic,a〉失行症の、行動不能症の
aproctia,鎖肛
aprosopia,無顔症
aprosopus,無顔体
apus,無足体
aquaculture,海洋牧場
aquarium,水族館
aqueduct,水管、水道
aqueductal,a〉水管の、水道の
aqueductus,水管、水道
aqueous,a〉水の; 水性の、水様の
arabinose,アラビノース
arachnephobia,クモ恐怖(症)
arachnophobia,クモ恐怖(症)
arachnoid,a〉クモ膜の n〉クモ膜
arachnoidal,a〉クモ膜の
arbor,1_木、樹木 2_小脳の正中断面像
arborescent,a〉樹状の、樹枝状の、樹木状の
arch,《解》弓
archaebacterium,古細菌
archaeopteryx,始祖鳥
arcuate,a〉弓状の
area,1_部位 2_面積 3_《解》野、区 [3]
areata,限局性の
argyrophilic,a〉好銀性の
armwrestling,腕相撲
arrangement,配列
arrest,捕獲
arrhythmia,不整脈
arrhythmic,a〉1_不整脈の 2_周期的でない
arsenate,砒酸塩、砒酸エステル 砒=ひ
arsenic,砒素
arsenium,砒素
arsenide,砒化物 砒=ひ
arsenite,亜砒酸塩、亜砒酸エステル 砒=ひ
arsenotherapy,砒素療法 砒=ひ
artefact,人工産物
arterial,a〉動脈(性)の、動脈血の
arteriochalasis,動脈弛緩(症)
arteriodialysis,動脈離開
arteriogenesis,動脈形成
arteriogram,動脈造影図、動脈撮影図
arteriography,動脈造影(法)、動脈撮影(法)
arteriolar,a〉細動脈の、小動脈の
arteriole,細動脈、小動脈
arteriolith,動脈結石
arteriolitis,細動脈炎
arteriology,動脈学
arteriomalacia,動脈軟化(症)
arteriometer,動脈計
arteriomyomatosis,動脈筋腫症
arteriopathy,動脈症、動脈疾患
arteriorrhexis,動脈破裂
arteriosclerosis,動脈硬化(症)
arteriosclerotic,a〉動脈硬化(症)の
arteriotomy,動脈切開(術)
arteriotony,動脈緊張
arteriovenous,a〉動静脈の
arteritis,動脈炎
artery,《解》動脈
arteries,《解》動脈
arthralgia,関節痛
arthralgic,a〉関節痛の
arthrectasia,関節腔拡張(症)
arthrectomy,関節切除(術)
arthredema,関節浮腫
arthritic,a〉関節炎の
arthritis,関節炎
arthrocele,関節瘤
arthrocentesis,関節穿刺(術)
arthrochalasis,関節弛緩(症)
arthrochondritis,関節軟骨炎
arthroclisis,関節強直
arthrodesis,関節固定(術)
arthrodial,a〉滑走関節の
arthrogram,関節腔造影像
arthrography,関節腔造影(法)
arthrogryposis,関節拘縮(症)
arthrolith,関節結石
arthrolithiasis,関節結石症
arthrology,関節学
arthrolues,関節梅毒
arthrometer,関節計
arthropathy,関節障害、関節症
arthroplasty,関節形成(術)
arthropod,節足動物
arthrosis,1_関節 2_関節症
arthrospore,分節胞子
arthrosynovitis,関節滑液膜炎
arthrotomy,関節切開(術)
articular,a〉関節の
articulation,1_調音、構音 2_結合、連結 3_《解》関節 4_《歯》咬合
articulator,1_調音器官 2_《歯》咬合器
articulatory,a〉1_調音の、構音の 2_結合の、連結の 3_関節の 4_《歯》咬合の
artifact,人工産物
artificial,人工の、人造の
arylsulfatase,アリールスルファターゼ
arytenoid,a〉1_披裂軟骨の 2_披裂筋の
asbestos,アスベスト、石綿
asbestos insulated,a〉石綿絶縁の
asbestosis,石綿症
ascending,a〉上行(性)の
ascites,腹水
ascitic,a〉腹水(症)の
ascorbic,a〉アスコルビン酸の
aseptic,a〉無菌性の
ash,灰
asomatognosia,身体失認
aspergillosis,アスペルギルス症
aspermia,無精液(症)、射精不能(症)
aspermism,無精液(症)、射精不能(症)
asphyxia,1_仮死、仮死状態 2_窒息*
asphyxial,a〉1_仮死の、仮死状態の 2_窒息の
aspiration,吸引
aspirator,吸引器
aspiratory,a〉呼吸の、呼吸吸引の、吸引の
aspirin,アスピリン
assessment,評価、アセスメント
assimilation,〔言語〕同化
assistant,1_助手 2_助剤
association,1_協会 2_<[心]>連想
astasia,起立不能(症)
astatine,アスタチン
asteatosis,1_皮脂分泌欠如 2_乾燥症
asternia,無胸骨(症)
asthenia,無力症
asthenic,a〉無力症の
asthenopia,眼精疲労
asthma,喘息
asthmatic,a〉喘息の、喘息用の
astigmatic,a〉乱視(性)の
astigmatism,乱視
astigmia,乱視
astomia,無口症
astringent,a〉収斂性の n〉収斂薬
astrobiology,宇宙生物学
astrochemistry,《理化》宇宙化学
astrocyte,星状膠細胞、アストロサイト
astrocytic,a〉星状膠細胞の、アストロサイトの
astrocytoma,星状膠細胞腫、アストロチトーム
astrocytosis,星状細胞増加(症)、星状細胞増多(症)
astromedicine,宇宙医学
astronaut,宇宙飛行士
astrospectroscopy,天体分光学
asymmetrical,a〉非対称(性)の
asymmetry,非対称
asymptomatic,a〉無症状の、無症候(性)の
asynchronous,a〉非同時性の、非同期の
asynchrony,非同時性、非同期、異期
asynchronism,非同時性、非同期、異期
asyndesis,統合障害
asynechia,構成隔離、構造不連続性
asynergia,協調障害、共同運動不能(症)、協同運動不能(症)、共同運動消失、協同運動消失
asynergy,協調障害、共同運動不能(症)、協同運動不能(症)、共同運動消失、協同運動消失
atactic,a〉運動失調(性)の、失調(性)の
ataxic,a〉運動失調(性)の、失調(性)の
ataxia,運動失調
ataxiophobia,失調恐怖(症)
atelectasis,無気肺
atelectatic,a〉無気肺(性)の、無拡張の
atelencephalia,脳発育不全
atelia,発育不全
atelocheilia,唇発育不全
atelocheiria,手発育不全
ateloglossia,舌発育不全
atelomyelia,脊髄発育不全
atherectomy,粥腫切除(術)、アテローム切除(術)
athermic,a〉熱をもたない、熱を伝えない
atheroembolism,粥腫塞栓症、アテローム塞栓症
atherogenesis,粥腫発生、アテローム発生
atherogenic,a〉粉瘤発生(性)の、アテローム発生(性)の
atheroma,粉瘤、粥腫、アテローム
atheromatosis,粥腫症、アテローム症
atheromatous,a〉粥腫の、粉瘤の、アテローム(性)の
atherosclerosis,粥状動脈硬化(症)、アテローム性動脈硬化(症)
atherosclerotic,a〉粥状動脈硬化(症)の、アテローム性動脈硬化(症)の
athlete,運動家、競技者
athletic,a〉1_運動家の、競技者の 2_運動の、競技の 3_<[心]>筋骨型の、闘士型の
athymia,無胸腺(症)
athymic,a〉無胸腺(症)の
atmosphere,大気
atmospheric,a〉大気(性)の
atom,原子
atomic,a〉原子の
atopic,a〉1_アトピー(性)の 2_転位の
atopy,アトピー
atoxic,a〉無毒の
atraumatic,a〉非外傷性の、非外力性の
atresia,閉鎖(症)
atretic,a〉閉鎖(症)の
atrial,a〉心房の
atriolized,a〉心房化の
atrioseptostomy,心房裂開(術)
atrioventricular,a〉房室の、房室間の、心房心室の
atrium,《解》心房 [L]
atrophic,a〉萎縮(性)の
atrophy,萎縮
attachment,付着、アタッチメント
attack,1_攻撃 2_発作
attenuated,a〉弱毒[化]の
attenuation,1_減弱 2_弱毒化
attitude,態度
attrition,[[歯]]咬耗(症)
attribution,〔言語〕属性付与
atypia,異型(性)
atypism,異型(性)
atypical,a〉異型(性)の
audibility,1_聞き取れること、可聴性、聴力 2_<[通信]>聴度
audible,a〉可聴の
audiologist,聴覚学者、聴覚専門医
audiology,聴覚学
audiometer,聴力計
audiovisual,a〉視聴覚の
auditory,a〉聴覚(性)の
auric,a〉1_金の 2_第２金の
auricle,《解》耳介
auricula,《解》耳介
auricular,a〉1_耳の、耳介の 2_心耳の
auriculocervical,a〉耳頚の
auriculopalpebral,a〉耳介眼瞼の
auriculotemporal,a〉耳介側頭の
auriculoventricular,a〉房室の
auriform,a〉耳形の、耳状の
aurinasal,a〉耳鼻の
auris,《解》耳
auriscope,耳鏡
aurometer,聴力計
auscultation,聴診(法)
auscultator,1_聴診器 2_聴診者
auscultatory,a〉聴診の
auscultoscope,(増幅器付き)聴診器
authentic,a〉1_本物の、真正な 2_(情報が)信頼できる、認証された
author,著者
autism,自閉症
autobiography,自伝
autoclavable,a〉加圧滅菌できる、オートクレーブできる
autodigestion,自己消化
autoeczematization,自己湿疹化
autofluorescence,自己蛍光、自家蛍光
autofluorescent,a〉自己蛍光の、自家蛍光の
autogamous,a〉自己生殖･自家生殖の、自己受精･自家受精の
autogamy,自己生殖
autogenous,a〉自原(性)の
autoimmune,a〉自己免疫(性)の
autoimmunity,自己免疫
autointoxication,自己中毒、自家中毒
autologous,a〉自家の、自己の
autolysis,自己溶解
autolytic,a〉自己溶解の
automacity,自動
automatic,a〉自動の
autonomic,a〉1_自動的な 2_自律神経の 3_(薬剤の)自律神経に影響を与える 4_〔植〕内因の、自発的な
autonomous,a〉1a_自律の、自主的な 1b_自律神経の 2_《生物》自律の、自主栄養の
autophagia,自咬症
autophagy,1_オートファジー 2_自咬症
autophobia,孤独恐怖(症)
autopsy,死体解剖、剖検、検死
autoreceptor,自己受容体
autoregulation,自己調節、自動調節
autosomal,a〉常染色体の
autotherapy,自然治癒
autoxidation,自動酸化
auxiliary,a〉補助の、予備の
avascular,a〉無血管の
avascularization,無血管化
average,a〉平均の
aviation,航空
avitaminosis,無ビタミン(症)
avirulent,a〉無毒(性)の
avulsion,1_裂離 2_捻除、抜去、引抜き
awakening,a〉覚醒の
axanthopsia,黄色盲
axial,a〉軸(性)の、軸面の
axilla,腋窩
axillary,a〉腋窩の
axis,軸
axodendritic,a〉軸索樹状突起間の
axon,軸索
axone,軸索
axonal,a〉軸索の
azole,アゾール
azoospermia,無精子(症)、精子欠如(症)
azoospermic,a〉無精子(症)の、精子欠如(症)の
azotaemia,高窒素血(症)
azote,窒素
azotemia,高窒素血(症)
azotic,a〉窒素の、含窒素の
azotometer,窒素計
azygogram,奇静脈造影図
azygography,奇静脈造影(法)
azygos,奇静脈
azygous,a〉単一の、奇数の、不対の
azymia,無酵素
azymic,a〉1_非発酵(性)の 2_無酵素の、酵素のない
babble,喃語
bacillary,a〉1_桿菌の、細菌性の 2_桿状の、桿状体の
bacillar,a〉1_桿菌の、細菌性の 2_桿状の、桿状体の
bacillus,桿菌
back,背、背部
backgrounding,背景化<言語の>
bacteremia,菌血症
bacteraemia,菌血症
bacteremic,a〉菌血症の
bacterial,a〉細菌(性)の
bactericidal,a〉殺菌の
bactericide,殺菌薬、殺菌剤
bactericidin,殺菌素
bacteriologic(al),a〉細菌学の、細菌学的な
bacteriologist,細菌学者
bacteriology,細菌学
bacteriophobia,細菌恐怖(症)
bacteriostasis,制菌
bacteriostatic,a〉制菌(性)の
bacteriotropic,a〉向細菌性の
bacterium,細菌
bacteriuria,細菌尿(症)
bacteroid,仮細菌、バクテロイド
balanic,陰茎亀頭の、陰核亀頭の
balanitis,亀頭炎
balanus,陰茎亀頭
ball valve,球状弁
ballistophobia,弾丸恐怖(症)
ballottement,浮球感、バロットマン
band,帯、バンド
bandage,1_包帯、帯具 2_包帯法
bar,《歯》バー
barbiturate,バルビタール酸塩
bariatric,a〉肥満
bariatrics,肥満病学
barite,重晶石
barium,<[元素]>バリウム
baroceptor,圧受容器
barognosis,重量感覚
barometer,気圧計
barometric(al),a〉気圧の、気圧計の
barophilic,a〉好圧(性)の
barophobia,重力恐怖(症)
barophobic,a〉嫌圧(性)の
baroreceptor,圧受容器
baroreflex,圧反射
baroscope,気圧計
barotitis,気圧性中耳炎
barotrauma,気圧障害、気圧性外傷
basal,a〉基底(部)の
base,1_底、底部 2_《理化》塩基
basedow,〔人名〕バセドウ
basement,基底
basicranium,《解》頭蓋底
basilar,a〉底部の、脳底の、頭蓋底の
basilic,a〉尺側皮の
basis,底、基底、根底 主薬、基礎薬
basivertebral,a〉椎体底の
basolateral,a〉基底外側の
basophilic,a〉塩基好性の
bath,浴
bathmotropic,a〉変閾の
battle,戦闘
beam,ビーム
becquerel,ベクレル
bed,病床
bedsore,褥創
behavior,行動
behavioral,a〉行動の
belly,腹、腹部
bellyache,腹痛
bellyband,腹帯
belly button,臍 へそ
belonephobia,恐尖症
beneficial,a〉有益な、有利な
benign,a〉良性
benumbness,昏蒙
benzamide,ベンズアミド
benzene,ベンゼン
benzoic,a〉安息香酸の
benzoin,ベンゾイン
beverage,飲み物、飲料
biblioclast,書籍破壊者、書籍破壊主義者
bibliographic,a〉1_図書目録の、出版目録の、参考書目の、引用文献の 2_書誌学の
bibliography,1_図書目録、出版目録、参考書目、引用文献 2_書誌学
bibliomania,書籍狂、蔵書癖
bibliomaniac,a〉蔵書癖の、書籍狂の
bibliophobe,本を嫌う人、本嫌い
bibliophobia,書籍恐怖(症)
bibliotherapy,読書療法
bicarbonate,重炭酸、重炭酸塩
bicephalus,二頭体
biciliate,a〉二重睫毛の
bicipital,a〉二頭筋の
biconcave,a〉二凹の
biconvex,a〉二凸の
bicornate,a〉二角の、双角の
bicuspid,《歯》1_小臼歯 2_双頭歯
bicyclic,a〉二環式の
bidactyly,二指症
bidirectional,a〉二方向性の
bifid,a〉二分の、二裂の
bifida,二分の、二裂の
bifocal,a〉二重焦点の
bifurcate,a〉分岐の、二分の
bifurcation,《解》分岐
bifurcatio,《解》分岐
bigeminal,a〉1_二段脈の、二連脈の 2_２重の
bilateral,a〉1_両者の 2_両側(性)の
bile,胆汁
bilestone,胆石
biliary,a〉1_胆汁の(choleic) 2_胆管の、胆道の、胆嚢の
bilious,a〉1_胆汁の(choleic) 2_胆管の、胆道の、胆嚢の
bilirubin,ビリルビン
bilirubinemia,ビリルビン血(症)
bilirubinuria,ビリルビン尿(症)
biliuria,胆汁尿、黄疸尿
bilocular,a〉二房(性)の
bimanual,a〉両手の
bimaxillary,a〉1_上顎両側の 2_《歯》上下顎の
bimolecular,a〉二分子の、双分子の
binding,結合
binominal,a〉1_二つの名前をもつ 2_<[数]>二項[式]の
binuclear,a〉二核の、双核の
bioavailability,生物学的利用率、生物学的利用能
biochemical,a〉生化学の、生化学的な
biochemistry,生化学
biochemical,生化学
biochemic,生化学
biochemical,a〉生化学的な
biocolloid,生体コロイド
biodegradable,a〉生物分解性の 〈微生物による〉
biodiversity,生物多様性
biodynamics,生体力学
bioelectric(al),a〉生物電気の
bioelectricity,生体電気
bioenvironmental,a〉生物環境の
biofilm,バイオフィルム
biogenetic,a〉生物発生の
biohazardous,a〉バイオハザードの、生物学的危険な
